Type,Brand,Product,imgURL,THC,CBD,Effects,Description,ProductUrl
Sativa,HOUSEPLANT,Lemon Sparkling Water | 4-pack,https://images.dutchie.com/cf81dd8ba51b00d7ddaf0f04bb4833c0?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Creative,Energetic,Focused,Happy,Inspired","Houseplant Lemon is a refreshing, cannabis-infused sparkling water with natural lemon flavour and 2.5mg of THC each. Great for any occasion, especially occasions where you feel like drinking a cannabis-infused sparkling water.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/lemon-sparkling-water-4-pack
Hybrid,HOUSE OF TERPENES,Limonene Medium Dose 1:1 Sparkling Tonic Beverage,https://images.dutchie.com/00b53040e01b32019fa8675f2f363e0b?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 5 mg,CBD: 5 mg,"Calm,Energetic,Happy,Relaxed","Limonene is bright and citrusy with notes of lemon, tangerine & thyme. West Coast hop flavours elevate the citrus elements, adding a complex botanical finish that is not overly sweet.,,POTENCY,1:1 MEDIUM,5MG THC + 5MG CBD,,OCCASIONS,Kicking off a dinner party.,Doing things differently.,Feeling experimental.,,SERVING SUGGESTION,Serve on ice.,Twist of lemon rind & a sprig of thyme.,,HIGHLIGHTS,All natural flavours.,Botanically sourced terpene flavours.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/limonene-medium-dose-1-1-sparkling-tonic-beverage
Hybrid,XMG,Mango Pineapple High THC Beverage,https://images.dutchie.com/49b1bc4193646dbd963371a8b556d4b4?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","No messing around with this mango pineapple, high-intensity flavoured potion.,,10mg THC.,,Enjoy straight up, right out of the can.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/mango-pineapple-high-thc-beverage
Indica,TWEED,Bakerstreet & Ginger Ale,https://images.dutchie.com/06ec72b38cce773d1ea942fe4bd2f236?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 2 mg,E,"Relaxed,Sleepy,Happy","Combining Bakerstreet Distilled Cannabis with ginger ale and other ingredients, this sparkling beverage comes in a 355ml can and contains 2mg of THC.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/bakerstreet-ginger-ale
Indica,TWEED,Bakerstreet Peppermint Milk Chocolate Bar | 4x2.5mg,https://images.dutchie.com/ddfc9bb84c20fdbcbf6d7b8da7889e9b?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,CBD: 1 mg,"Happy,Relaxed,Sleepy","This cannabis-infused peppermint milk chocolate was made in a former chocolate factory in Smiths Falls, Ontario, using our very own THC-dominant indica strain, Bakerstreet.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/bakerstreet-peppermint-milk-chocolate-bar-4x2-5mg
Hybrid,CHOWIE WOWIE,Balance 1:1 Solid Milk Chocolate | 2x5mg,https://images.dutchie.com/42d16a3c53e535cf3eff107532bac3cb?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,CBD: 10 mg,"Calm,Energetic,Happy,Relaxed","Chocolate so smooth it could sell water to a fish. Every Chowie Wowie THC-CBD Milk Chocolate package contains one piece of milk chocolate with 10 mg of THC and 10 mg of CBD that's breakable into two portions. Start with 1 square then wait to feel the effects. While you wait you could invent backstories for strangers, try not to think about capybaras, watch clouds...,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/balance-1-1-solid-milk-chocolate-2x5mg
Hybrid,ACE VALLEY,CBN Blackberry Lemon Dream Soft Chews | 2x5mg,https://images.dutchie.com/3efb23a79e13480cd9469b7f3c2bbd7d?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","""Our Dream Soft Chews are fruity with a careful dose of CBN.  Each Ace Valley Blackberry Lemon Dream Soft Chew features  blackberry flavour with a clean lemon finish. Formulated with 5 mg THC and 2.5 mg CBN per soft chew.  These delicious treats are are made without animal products or gluten. ,"",",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/cbn-blackberry-lemon-dream-soft-chews-2x5mg
Hybrid,REDECAN,Gems 5:0 | 15 caps,https://images.dutchie.com/1e30d4c825b86b74c65b84451df2dc99?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 75 mg,E,"Calm,Energetic,Happy,Relaxed","Grown in Niagara, Ont., Gems 5:0 cannabis softgels are made with ethanol-extracted oil from greenhouse-grown, blended hybrid strains. Each gelatin softgel has 5 mg of THC, no CBD and was formulated with MCT oil. They have mild THC potency and are available in 15-capsule bottles.,THC,4.50 - 5.50 mg/capsule | 0.00 mg/ml,,CBD,4.50 - 5.50 mg/capsule | 0.00 mg/ml,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/gems-5-0-15-caps
Hybrid,TWEED,Houndstooth Soda,https://images.dutchie.com/ebb92fca54adadc296c35a7a16347a2c?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 2 mg,E,"Calm,Happy,Relaxed,Energetic","Tweed masterfully combined Tweed Houndstooth Distilled Cannabis with soda water and other ingredients to create a refreshing cannabis experience. The convenient 355 mL can contains 2 mg of THC.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/houndstooth-soda
Sativa,TWEED,Iced Tea Lemon | 355ml,https://images.dutchie.com/6f2cff195b6ed111b63f366974ce4dae?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 5 mg,E,"Creative,Energetic,Focused,Happy,Inspired","""Tweed Iced Tea Lemon is a naturally flavoured, refreshing iced cannabis tea infused with sativa-dominant THC distillate. Best enjoyed chilled, this thirst quenching iced cannabis tea is the perfect choice to cool off with.,"",",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/iced-tea-lemon-355ml
